品牌,型号,受欢迎度,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒,耗材名称；耗材型号；价格,网址,净化器类型,评测
夏普,KC-GD10,5.5,160,FALSE,,25,22,49,中国,6.1,,180,,TRUE,,TRUE,FALSE,FALSE,"除甲醛过滤网；FZ-Y180VFS；145
集尘·脱臭一体化过滤网；FZ-Y180SFS；220","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.95.yVVk8f&id=38408292212&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.101.yVVk8f&id=38378395438&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1",,
夏普,KC-W200SW,7.4,190,FALSE,,25,17,46,中国,8,"1,799",200,5,FALSE,FALSE,FALSE,TRUE,FALSE,"除臭过滤网；FZ-C70DFS；187
HEPA过滤网；FZ-200HFS；453
加湿过滤网；FZ-C100MFS；133","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.61.EjkTpU&id=23043328560&rn=bb06d807f14b05232fdf877d14b832b9
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.64.EjkTpU&id=19205351109&rn=bb06d807f14b05232fdf877d14b832b9
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.55.EjkTpU&id=19209231707&rn=bb06d807f14b05232fdf877d14b832b9",,
夏普,KC-W280SW,3.6,280,FALSE,,37,17,49,中国,9,"2,680",280,5,FALSE,FALSE,FALSE,TRUE,TRUE,"除臭过滤网；FZ-C100DFS；200
HEPA过滤网；FZ-280HFS；507
加湿过滤网；FZ-C100MFS；133","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.42.W4GQB1&id=23043712034&rn=47c72a27b161c23413dff45a6c373368
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.39.W4GQB1&id=23043668579&rn=47c72a27b161c23413dff45a6c373368
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.36.W4GQB1&id=19209231707&rn=47c72a27b161c23413dff45a6c373368",,
夏普,KC-W380SC,1.7,,,,56,,54,,,,760,4,,,,,,——（无产品）,,,
夏普,KC-W380SW,9.4,375,FALSE,,56,19,52,中国,11,"3,459",380,5,FALSE,FALSE,FALSE,TRUE,FALSE,"除臭过滤网；FZ-C150DFS；213
HEPA过滤网；FZ-380HFS；560
加湿过滤网；FZ-C100MFS；133","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.69.2LOmvT&id=23043820117&rn=85a201649a5269c2e64be16e6b20425d
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.64.2LOmvT&id=23043716773&rn=85a201649a5269c2e64be16e6b20425d
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.59.2LOmvT&id=19209231707&rn=85a201649a5269c2e64be16e6b20425d",,
夏普,KC-WB2,9.4,200,FALSE,,23,,47,中国,8,"2,399",30,5,FALSE,FALSE,FALSE,TRUE,FALSE,"除臭除甲醛一体过滤网；FZ-GB20GT；533
HEPA过滤网；FZ-GB20GH；467
加湿过滤网；FZ-WB90WK；133","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.83.DXtIxM&id=17455037812&rn=173af68096531d5afdb6b6e25ca61432
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.80.DXtIxM&id=17493750986&rn=173af68096531d5afdb6b6e25ca61432
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.71.DXtIxM&id=19274895186&rn=173af68096531d5afdb6b6e25ca61432",,
夏普,KC-WB3,10.4,255,FALSE,,29,,47,中国,9.2,"2,638",,5,FALSE,FALSE,FALSE,TRUE,FALSE,"除臭除甲醛一体过滤网；FZ-GB30GT；600
HEPA过滤网；FZ-GB30GH；533
加湿过滤网；FZ-WB90WK；133","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.54.K5iR1s&id=17444958298&rn=d57f85680edec201c8f68f9e7d3d6778
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.57.K5iR1s&id=23049964346&rn=d57f85680edec201c8f68f9e7d3d6778
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.48.K5iR1s&id=19274895186&rn=d57f85680edec201c8f68f9e7d3d6778",,
夏普,KC-WB6,9.4,405,FALSE,,57,,53,中国,11,"2,999",405,5,FALSE,FALSE,FALSE,TRUE,TRUE,——,,,
夏普,KC-WE20,5.9,190,FALSE,4.5,21,37,56,中国,8,"2,299",,3,FALSE,FALSE,TRUE,TRUE,FALSE,"除臭除甲醛一体过滤网；FZ-WE20AD；——
HEPA过滤网；FZ-CD20BH；340
加湿过滤网；FZ-BB90ZK；120","——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.EJ1xEk&id=39669925389&areaId=211200&cat_id=2&rn=3f34915093dd185a06fcd1d5f1c1bf42&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-WE21,6.5,201,FALSE,,23,32,58,中国,8.1,"3,099",,,TRUE,,TRUE,TRUE,TRUE,"除臭除甲醛一体过滤网；FZ-WE20AD；——
HEPA过滤网；FZ-CD20BH；340
加湿过滤网；FZ-BB90ZK；120","——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.EJ1xEk&id=39669925389&areaId=211200&cat_id=2&rn=3f34915093dd185a06fcd1d5f1c1bf42&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-WE30,5.6,250,FALSE,4.5,21,37,56,,9.2,"2,599",,3,FALSE,FALSE,TRUE,TRUE,FALSE,"除臭除甲醛一体过滤网；FZ-WE30AD；——
HEPA过滤网；FZ-CD30BH；390
加湿过滤网；FZ-BB90ZK；120","——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.qlMz4Q&id=39651086592&areaId=211200&cat_id=2&rn=733a88827bbbaa5399e4f997e94ab1c8&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-WE31,6.4,251,FALSE,,55,33,56,中国,9.2,"2,499",,3,TRUE,FALSE,TRUE,TRUE,TRUE,"除臭除甲醛一体过滤网；FZ-WE30AD；——
HEPA过滤网；FZ-CD30BH；390
加湿过滤网；FZ-BB90ZK；120","——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.qlMz4Q&id=39651086592&areaId=211200&cat_id=2&rn=733a88827bbbaa5399e4f997e94ab1c8&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-WE61,5.5,401,FALSE,,60,35,63,中国,11,,,,TRUE,,TRUE,TRUE,TRUE,"除臭除甲醛一体过滤网；FZ-WE61AD；——
HEPA过滤网；FZ-WE61GH；——
加湿过滤网；FZ-BB90ZK；120","——
——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-Y180SW,10.4,178,FALSE,4.5,25,22,49,中国,6.1,"1,348.9",,4,FALSE,FALSE,FALSE,TRUE,FALSE,"除甲醛过滤网；FZ-Y180VFS；145
集尘·脱臭一体化过滤网；FZ-Y180SFS；220","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.95.yVVk8f&id=38408292212&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.101.yVVk8f&id=38378395438&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1",,
夏普,KC-Z200SW,6.6,206,FALSE,,23,,49,,8.1,"2,269",450,3,FALSE,FALSE,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-200HFS；453
除甲醛过滤网；FZ-C70VFS；350
除臭过滤网；FZ-C70DFS；187
加湿过滤网；FZ-Z380MF；110","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.15.kOrh9s&id=19205351109&areaId=211200&cat_id=2&rn=bfd631d1277df5b354513138df752b0c&user_id=748811402&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.oL4VH6&id=35689246131&areaId=211200&cat_id=2&rn=6ca12a1d508d9945c891ff6cde3cc6fa&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.20.vbDlR6&id=23043328560&areaId=211200&cat_id=2&rn=7261a67aa0776719731f660bfaeeaa77&user_id=748811402&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.31.DKZpmH&id=35701992707&areaId=211200&cat_id=2&rn=e5690320e85048693ad4ce020fd62a2a&user_id=1813906866&is_b=1",,
夏普,KC-Z280SW,7.4,288,FALSE,,35,,50,中国,9.2,"1,980",600,5,FALSE,FALSE,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-280HFS；507
除甲醛过滤网；FZ-C100CFS；205
除臭过滤网；FZ-C100DFS；200
加湿过滤网；FZ-Z380MF；110","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.bAPoEg&id=23043668579&areaId=211200&cat_id=2&rn=ab32b9e2fd1ef84ef03236101e27abf6&user_id=748811402&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.8aY8CU&id=37926404417&areaId=211200&cat_id=2&rn=7b792d27f7adb6481e4747247a15b9e0&user_id=917455432&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.15.K7O5Yg&id=23043712034&areaId=211200&cat_id=2&rn=6c0f0d44c11159b42dd6f549ebdbd156&user_id=748811402&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.31.FpxtSf&id=35701992707&areaId=211200&cat_id=2&rn=3db30080b5321a93ef1675f3e810e7e9&user_id=1813906866&is_b=1",,
夏普,KC-Z380SW,6.6,370,FALSE,,56,,54,中国,11,"2,999",760,3,,FALSE,FALSE,TRUE,TRUE,"集尘HEPA过滤网；FZ-380HFS；560
除甲醛过滤网；FZ-C150VFS；190
除臭过滤网；FZ-C150DFS；213
加湿过滤网；FZ-Z380MF；110","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.21.x86wjf&id=23043716773&areaId=211200&cat_id=2&rn=f44ecf3ebd333049958b48bcc1a92358&user_id=748811402&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.27.EIsSqJ&id=35689900781&areaId=211200&cat_id=2&rn=4524e2b33affe5cb03f8789a7b1e0036&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.21.VkrvSy&id=23043820117&areaId=211200&cat_id=2&rn=2b483a136e0001c1e5431f0279b7d6f5&user_id=748811402&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.31.Y3HT8J&id=35701992707&areaId=211200&cat_id=2&rn=1cb62f3c24379a0e55dffb892e1102f4&user_id=1813906866&is_b=1",,
夏普,KI-BB60,10.4,405,FALSE,,62,,62,中国,13,"4,499",405,,TRUE,FALSE,TRUE,TRUE,TRUE,"集尘HEPA过滤网；FZ-BB60XH；410
除甲醛过滤网；FZ-BB60XV；190
除臭过滤网；FZ-BB60XT；455
加湿过滤网；FZ-BB60XK；110","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.21.BmFsEh&id=35679157207&areaId=211200&cat_id=2&rn=619611c13cba6696163204218329f9e5&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.K9iuft&id=35689900781&areaId=211200&cat_id=2&rn=e05d05002ed4408e552bec06ae87e8a8&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.26.49LReX&id=35699703141&areaId=211200&cat_id=2&rn=fb456ec3126cd5c7c7258445b66f5f6a&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.21.hnKFTf&id=35698562179&areaId=211200&cat_id=2&rn=d7c4e80c1a9fa17dfbf3d5f2c0f5e563&user_id=1813906866&is_b=1",,
大金,MC120MMV2,6,710,FALSE,18,100,45,65,中国,30,"15,600",720,3,,,,TRUE,TRUE,复合滤网；BAFP019A4C；600,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.86.azuh3J&id=37021284794&areaId=211200&cat_id=2&rn=8064183f2a4beb5398076f75826af55e&user_id=1957984389&is_b=1,复合型（离子）,
大金,MC70KMV2,10.4,336,FALSE,7,42,31,54,中国,8.5,"2,288",420,6,TRUE,TRUE,TRUE,TRUE,TRUE,"复合滤网；BAC006A4C；400
除臭滤网；3P293318-1；286","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.85.awZr88&id=37021040862&areaId=211200&cat_id=2&rn=6ef52b3bc71fc546dff49072ef174f52&user_id=1957984389&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.97.awZr88&id=37729413519&areaId=211200&cat_id=2&rn=6ef52b3bc71fc546dff49072ef174f52&user_id=1957984389&is_b=1",复合型（离子）,
大金,MC71NV2C,10.4,421,FALSE,7,42,32,65,中国,9.5,"3,188",426,5,TRUE,TRUE,TRUE,TRUE,TRUE,"复合滤网；BACO47A4C；400
除臭滤网；3P325724-1；309","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.27.Acn9q7&id=20120778868&areaId=211200&cat_id=2&rn=3577851aae4b773a65cd6d776a331d8c&user_id=1777377388&is_b=1
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-5736119652.48.FpftOG&id=37719335870&rn=aefdbff73455376662533eba9a49391a",复合型（离子）,
大金,MCK57LMV2,10.4,270,FALSE,11,37,60,55,中国,11,"3,288",342,3,TRUE,TRUE,TRUE,TRUE,TRUE,"复合滤网；BAC017A4C；400
除臭滤网；3P293318-1；286","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-5736119652.66.z6MdqU&id=37000886799&rn=861613d0d71955acc1acd2bdb233c1cd
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-5736119652.51.z6MdqU&id=37729413519&rn=861613d0d71955acc1acd2bdb233c1cd",复合型（离子）,
奔腾,PW8001,4,198,FALSE,,47,,60,,4.75,,,4,,,TRUE,,,——,——,过滤型,
奥司汀,HM200,5.6,233,FALSE,25,80,50,66,,10,"5,988",340,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM200滤芯；2888,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.33.WlnOuy&id=21062712873&areaId=211200&cat_id=2&rn=edf39cd53904bc618c70b2aee3e13039&user_id=1078324613&is_b=1,过滤式,
奥司汀,HM205,5.6,233,FALSE,25,80,50,66,,6.4,"8,588",340,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM205滤芯；3288,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.61.FqZTSM&id=17927203897&rn=09bfe2494c7e397ec3355fe0e7ba960a,,
奥司汀,HM230,7.9,233,FALSE,28,106,,,美国,9.5,"4,898",,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM230滤网；2688,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.26.aCpifF&id=36129304778&rn=e405e9cd6707ddd3986db7a6725c473e,,
奥司汀,HM250,5.6,233,FALSE,,80,50,66,,10,"8,988",340,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM250滤芯；4388,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.43.niCpQb&id=21062992807&rn=59170f09ec814594f1b8eb100e3297af,,
奥司汀,HM280,7.9,233,FALSE,28,106,,,美国,9.5,"7,599",,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM280滤网；4188,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.32.wn1Z9J&id=36122173538&rn=b09045b1ea0b525c232dd90c59d09e9b,,
奥司汀,HM400,5.6,233,FALSE,,115,50,66,,21.3,"11,688",680,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM400滤芯；4588,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.33.AGfRdO&id=17927039146&rn=6275534166177557ce5a6cede3eae4d4,,
奥司汀,HM402,5.6,233,FALSE,35,115,,66,,21,"18,988",680,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM402滤芯；8988,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.33.Aj6PfV&id=21063064731&rn=384c6c2aa3db9a00401178d9f370025a,,
奥司汀,HM405,5.6,233,FALSE,35,115,50,66,,14,"11,988",680,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM405滤芯；4888,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.33.0wvkJp&id=17927119689&rn=280ccc1981e31fed6642d1860d31664f,,
奥司汀,HM410,5.6,233,FALSE,35,115,,66,,21,"12,988",680,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM410滤芯；5388,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.30.3nnKDs&id=17927283477&rn=f6fc83f73abf206e91f2b030f5f10d31,,
奥司汀,HM430,3.9,,,38,82,,,美国,20,"9,499",,3,FALSE,FALSE,FALSE,FALSE,FALSE,复合滤芯；HM430滤网；4388,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.32.toqfc7&id=36129460797&rn=0882740f4263dd0403e98b267ed3ed1e,,
奥司汀,HM450,5.6,233,FALSE,35,115,50,66,,21,"13,988",680,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM450滤芯；5988,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.43.8IFiFa&id=16484142638&rn=e18fcac220251dac984e000f29094172,,
奥司汀,HM480,6.9,233,FALSE,30,82,,,美国,20,"11,699",,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM480滤网；5688,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.29.Iz4eKs&id=36122453131&rn=01b3a4a1d37360a6cd30420af5b8b157,,
奥司汀,HM482,6.9,233,FALSE,38,82,,,美国,20,"15,899",,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤芯；HM482滤网；8588,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-8396396987.23.AnNMGh&id=36122039280&rn=584a6f0ce53eccc121508f909c7102e8,,
奥得奥,ADA312,1.9,,,,3,,,,,85,,,FALSE,FALSE,FALSE,FALSE,FALSE,——,——,——,
奥得奥,ADA388,2.6,,,,3,,,,0.55,168,,,FALSE,FALSE,FALSE,FALSE,FALSE,HEPA滤网；ADA388 HEPA；80,"http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.30.oHc5ps&id=19442220134&rn=53c2e1126892230a73f92f3a29b5e364
",过滤型,
奥得奥,ADA603,3.6,,,,30,,26,,2.9,"1,280",,,FALSE,FALSE,FALSE,TRUE,FALSE,"光触媒滤网；ADA603光触媒；88
活性炭HEPA滤网；ADA603603；138","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.53.Jm1FIt&id=13510064601&rn=07fef40c8ab26aa7ac99e03f353a0fa1
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.50.Jm1FIt&id=12979243455&rn=07fef40c8ab26aa7ac99e03f353a0fa1",复合型,
奥得奥,ADA609,4.6,,,,36,,,,3,780,,3,TRUE,FALSE,TRUE,FALSE,FALSE,复合滤网；ADA609；108,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.49.lOJHIF&id=13510796457&rn=c6721ed02d86cceaabf2f714c232cdd7,复合型,
奥得奥,ADA682,3.6,,,,120,,,,,"2,495",,3,TRUE,TRUE,TRUE,FALSE,FALSE,复合滤网；ADA682；178,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.43.XbUxCU&id=12784073125&rn=bb1bc68ff1d3c3a9af8655dbfea5a040,复合型,
奥得奥,ADA685,3.6,,,,60,,,,,"1,780",,3,TRUE,TRUE,TRUE,FALSE,FALSE,——,——,复合型,
奥得奥,ADA688,3.6,,,,40,,,,2.8,428,,,FALSE,FALSE,TRUE,FALSE,FALSE,HEPA滤网；ADA688；120,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.46.2OM2Of&id=17115318010&rn=aafa048f80df57d447951cc1131baf87,过滤型,
奥得奥,ADA689,3.6,,,,35,,,,3.5,789,,3,TRUE,FALSE,TRUE,FALSE,FALSE,HEPA滤网；ADA689；198,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.40.TnuUlS&id=13049451464&rn=02f53ec153cf406b843b91f75336b9e8,过滤型,
奥得奥,ADA704,2.9,,,,3,,,,0.762,249,,,FALSE,FALSE,FALSE,FALSE,FALSE,复合滤网；ADA704-V9；88,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2870366327.39.4R15CJ&id=18855032306&rn=59a741ee525574f8472fe461fbb274ba,过滤型,
奥得奥,ADA707,1.9,,,,5,,,,,638,,,FALSE,FALSE,FALSE,FALSE,FALSE,无耗材,,复合型,
奥得奥,ADA727,1.9,,,,0.2,,,,,88,,,FALSE,FALSE,FALSE,FALSE,FALSE,——,——,——,
奥得奥,ADA767,1.9,,,,10,,,,0.98,764,,,FALSE,FALSE,FALSE,FALSE,FALSE,无耗材,,复合型,
奥得奥,ADA768,2.9,,,,10,,,,0.998,998,,,FALSE,FALSE,TRUE,FALSE,FALSE,无耗材,,复合型,
奥得奥,ADA802,1.9,,,,,,,,,"4,598",,,FALSE,FALSE,FALSE,FALSE,FALSE,无耗材,,电子型,
奥得奥,ADA803,2.9,,,,,,,,10,"3,999",,3,TRUE,TRUE,TRUE,FALSE,FALSE,无耗材,,电子型,
奥得奥,ADA981,2.9,,,,,,,,,"2,398",,3,TRUE,FALSE,TRUE,FALSE,FALSE,无耗材,,电子型,
奥得奥,KJG681,1.9,,,,35,,,,,"1,081",,,FALSE,FALSE,FALSE,FALSE,FALSE,——,——,——,
奥郎格,AG800,2.8,400,TRUE,34,186,33,67,中国,18.5,"12,645.1",,3,TRUE,TRUE,TRUE,TRUE,TRUE,"活性炭过滤网；AG800 Gas & Odor Filter；980
HEPA高效过滤网；AG800 HEPAfast；1680","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-6014803329.42.8m10e2&id=37597123662&rn=f2ca2cdaebde99d2dffc2ff58e3c638f
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-6014803329.37.8m10e2&id=37606457532&rn=f2ca2cdaebde99d2dffc2ff58e3c638f",过滤型,
奥郎格,AG850,2.8,400,TRUE,48,194,33,68,中国,19,"16,588",,3,TRUE,TRUE,TRUE,TRUE,TRUE,"活性炭过滤网；AG800 Gas & Odor Filter；980
HEPA高效过滤网；AG800 HEPAfast；1680；
专利组件；Titanium Pro UV组件；1680","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-6014803329.42.8m10e2&id=37597123662&rn=f2ca2cdaebde99d2dffc2ff58e3c638f
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-6014803329.37.8m10e2&id=37606457532&rn=f2ca2cdaebde99d2dffc2ff58e3c638f
http://list.tmall.com/search_product.htm?q=%B0%C2%C0%C9%B8%F1AG850&type=p&spm=a220m.1000858.a2227oh.d100&from=.list.pc_1_searchbutton",复合型（光）,
奥郎格,AG900,2.8,400,TRUE,49,192,33,68,中国,19,"16,645.1",,3,TRUE,TRUE,TRUE,TRUE,TRUE,"活性炭过滤网；AG900 Gas & Odor Filter；1500
HEPA高效过滤网；AG900 cHEPA；2280；
专利组件；Titanium Pro UV组件；1680","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.17.lUu218&id=37613109201&areaId=211200&cat_id=2&rn=2114ca834d5303b0ebf91bb176e22394&user_id=1878836652&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.2.lUu218&id=37612745852&areaId=211200&cat_id=2&rn=2114ca834d5303b0ebf91bb176e22394&user_id=1878836652&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.32.lUu218&id=37612657614&areaId=211200&cat_id=2&rn=2114ca834d5303b0ebf91bb176e22394&user_id=1878836652&is_b=1",复合型（光）,
奥郎格,AG950,2.8,340,TRUE,34,177,33,67,中国,18.5,"14,500",,3,TRUE,TRUE,TRUE,TRUE,TRUE,"活性炭过滤网；AG950 Gas & Odor Filter；2480
HEPA高效过滤网；AG950 cHEPA；1680；","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.12.v2l1S2&id=37604794881&areaId=211200&cat_id=2&rn=d63da5b05e4f915504e0d1e67827b3f3&user_id=1878836652&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.17.v2l1S2&id=37614681045&areaId=211200&cat_id=2&rn=d63da5b05e4f915504e0d1e67827b3f3&user_id=1878836652&is_b=1",过滤型,
布鲁雅尔,203,6.6,155,TRUE,13,80,30,48,中国,11,"3,590",300,3,FALSE,FALSE,FALSE,FALSE,FALSE,复合过滤网；200系列粒子型滤网；296,http://www.blueair.cn/Shop/BuyFilter?series=8,,
布鲁雅尔,270E,5.9,155,TRUE,13,80,23,48,中国,11,"5,400",300,,FALSE,FALSE,FALSE,FALSE,FALSE,复合过滤网；200系列粒子型滤网；296,http://www.blueair.cn/Shop/BuyFilter?series=8,,
布鲁雅尔,303,9.4,264,FALSE,20,80,30,55,中国,12.5,"3,834",300,3,FALSE,FALSE,FALSE,FALSE,FALSE,复合过滤网；303机型粒子型滤网；296,http://www.blueair.cn/Shop/BuyFilter?series=8,,
布鲁雅尔,403;410B,9.4,240,TRUE,20,70,32,58,中国,15.5,"5,650",410,4,FALSE,FALSE,FALSE,FALSE,FALSE,复合过滤网；400系列粒子型滤网；426,http://www.blueair.cn/Shop/BuyFilter?series=8,,
布鲁雅尔,450E,6.6,240,TRUE,17,95,32,49,中国,15.5,"6,460",500,4,FALSE,FALSE,FALSE,FALSE,FALSE,复合过滤网；400系列粒子型滤网；426,http://www.blueair.cn/Shop/BuyFilter?series=8,,
布鲁雅尔,503;510B,9.4,375,TRUE,16,90,32,60,中国,16,"6,305",735,4,FALSE,FALSE,TRUE,FALSE,FALSE,复合过滤网；500系列粒子型滤网；596,http://www.blueair.cn/Shop/BuyFilter?series=8,,
布鲁雅尔,550E,6.6,663,FALSE,23,95,32,60,中国,16,"7,980",765,,TRUE,TRUE,TRUE,FALSE,FALSE,复合过滤网；500系列粒子型滤网；596,http://www.blueair.cn/Shop/BuyFilter?series=8,,
