品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),颜色,最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,滤网材料,滤网更新提醒,支持睡眠模式,支持遥控,支持定时,空气质量显示,风档,图片,数据来源
惠而浦,WA-2002FK,200,,,595,336,235,6.0,,,,,,-1,,,-1,,,,,,,3,http://www.whirlpool.com.cn/UploadImage/Product/Big/201310271834301.jpg,http://www.whirlpool.com.cn/product/detail.aspx?id=378
惠而浦,WA-2002FK,,,,336,235,595,6,金色,,,,50,,,深圳,3.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010424/000000000104245168/fullimage/000000000104245168_1.jpg,http://product.suning.com/104245168.html
惠而浦,WA-4001FK,200,,,595,336,235,6.0,,,,,,-1,,,-1,,,,,,,3,http://www.whirlpool.com.cn/UploadImage/Product/Big/201310271842411.jpg,http://www.whirlpool.com.cn/product/detail.aspx?id=379
慑力,A9,,,,255,230,230,3.5,,,,,36,,,,,,,,,true,true,,http://2a.zol-img.com.cn/product/134_160x120/280/ceXYnrvI84QLg.jpg,http://detail.zol.com.cn//381/380489/param.shtml
慑力,C3,,,,,,,1.5,,,,,15,,,,,,,,,true,true,,http://2f.zol-img.com.cn/product/134_160x120/303/ceT2ZZyfgGl2.jpg,http://detail.zol.com.cn//381/380492/param.shtml
扬子,YZ-AP-001,,,,610,360,200,8,粉色,,,,37,300,,安徽,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010915/000000000109152113/fullimage/000000000109152113_1.jpg,http://product.suning.com/109152113.html
扬子,YZ-AP-001,,,,405,245,665,8,金色,,,,37,300,,安徽,12.0,"活性炭滤网,HEPA滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010915/000000000109152048/fullimage/000000000109152048_1.jpg,http://product.suning.com/109152048.html
扬子,YZ-AP-001,,,,610,360,200,8,黑色,,,,37,300,,安徽,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010915/000000000109152152/fullimage/000000000109152152_1.jpg,http://product.suning.com/109152152.html
扬子,YZ-AP-012,,,,552,202,336,4,金色,,,,50,190,,安徽,12.0,"活性炭滤网,HEPA滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010915/000000000109152227/fullimage/000000000109152227_1.jpg,http://product.suning.com/109152227.html
技真百通,TTBT500A,,,,379,215,552,7,粉色,,,,35,255,,中国广东东莞,5.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010844/000000000108445367/fullimage/000000000108445367_1.jpg,http://product.suning.com/108445367.html
技真百通,TTBT500A,,,,379,215,552,7,金色,,,,35,255,,中国广东东莞,5.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010983/000000000109835945/fullimage/000000000109835945_1.jpg,http://product.suning.com/109835945.html
技真百通TTBT,TTBT500A,,,,552,215,379,7,灰色,,,,35,255,,中国广东省,5.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010785/000000000107858632/fullimage/000000000107858632_1.jpg,http://product.suning.com/107858632.html
技真百通TTBT,TTBT500A,,,,552,379,215,7.0,红色,,,,35,255,,中国广东省,5.0,"HEPA滤网,活性炭滤网",有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010781/000000000107811512/fullimage/000000000107811512_1.jpg,http://product.suning.com/107811512.html
技真百通TTBT,TTBT500A,,,,552,215,379,7,绿色,,,,35,255,,中国广东省,5.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010784/000000000107848951/fullimage/000000000107848951_1.jpg,http://product.suning.com/107848951.html
技真百通TTBT,TTBT500A,,,,379,215,552,7,蓝色,,,,35,255,,中国广东省,5.0,"HEPA滤网,活性炭滤网",有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010782/000000000107825818/fullimage/000000000107825818_1.jpg,http://product.suning.com/107825818.html
摩瑞尔,M-B70,,,,,,,0.13,,,,,0,,,,,,,,,,,,http://2e.zol-img.com.cn/product/112_160x120/154/ceUBwR9ZadWw.jpg,http://detail.zol.com.cn//354/353920/param.shtml
摩瑞尔,M-C10C,,,,80,157,80,0.26,,,35,,,,,,,,,,,,,3,http://2d.zol-img.com.cn/product/112_160x120/309/ceJQVpDMLTdo.jpg,http://detail.zol.com.cn//354/353922/param.shtml
摩瑞尔,M-G40,,,,160,60,402,0.854,,,,,5,,,,,,,,,,,,http://2a.zol-img.com.cn/product/112_160x120/916/cesx32EHA5IQ.jpg,http://detail.zol.com.cn//354/353916/param.shtml
摩瑞尔,M-G40,,,,60,402,160,1.445,银色,,,,5,150,,北京,999.0,无,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010781/000000000107816501/fullimage/000000000107816501_1.jpg,http://product.suning.com/107816501.html
摩瑞尔,M-G41,,,,76,66,455,2.2,白色,,,,19,,,北京,12.0,活性炭滤网,无,不支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010781/000000000107813910/fullimage/000000000107813910_1.jpg,http://product.suning.com/107813910.html
摩瑞尔,M-J20,,,,50,104,90,0.18,,,45,,2,,,,,,,,,,,,http://2b.zol-img.com.cn/product/112_160x120/869/ce718WaFv3H2.jpg,http://detail.zol.com.cn//354/353915/param.shtml
摩瑞尔,M-J20,,,,104,90,50,0.415,白色,,,,5,150,,北京,999.0,无,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010781/000000000107812615/fullimage/000000000107812615_1.jpg,http://product.suning.com/107812615.html
摩瑞尔,M-J20A,,,,74,97,120,0.16,,,,,2,,,,,,,,,,,,http://2c.zol-img.com.cn/product/112_160x120/56/ceDokyANEl0l.jpg,http://detail.zol.com.cn//354/353918/param.shtml
摩瑞尔,M-K00A5,,,,200,150,402,2,黑色,,,,12,,,北京,,活性炭滤网,无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010341/000000000103414222/fullimage/000000000103414222_1.jpg,http://product.suning.com/103414222.html
摩瑞尔,M-K00B1,,,,560,155,255,3.6,,,61,,40,220,,,,,,true,,,,3,http://2a.zol-img.com.cn/product/112_160x120/630/ceCudnf3k5UA.jpg,http://detail.zol.com.cn//354/353923/param.shtml
摩瑞尔,M-K00C,,,,705,176,270,4.65,,,,,60,240,,,,,,,,,,,http://2b.zol-img.com.cn/product/112_160x120/201/ceHUN2OB0XN0o.jpg,http://detail.zol.com.cn//354/353935/param.shtml
摩瑞尔,M-K00D,,,,705,176,270,4.7,,,65,,0,240,,,,HEPA,true,true,,,,3,http://2a.zol-img.com.cn/product/112_160x120/606/ceRcy7VoAB7Oc.jpg,http://detail.zol.com.cn//354/353926/param.shtml
摩瑞尔,M-K00D1,,,,560,155,255,3.7,,,61,,45,,,,,HEPA,,,,,,,http://2c.zol-img.com.cn/product/112_160x120/692/ceOfF7NKFLkg.jpg,http://detail.zol.com.cn//354/353928/param.shtml
摩瑞尔,M-K00H1,,,,570,310,177,4.8,,,30,,35,330,,,,HEPA,,true,,,true,3,http://2d.zol-img.com.cn/product/112_160x120/787/ceMKCHucC26NE.jpg,http://detail.zol.com.cn//354/353912/param.shtml
摩瑞尔,M-KOOC,,,,,,,,,,,,60,,,中国北京,,,,,,,无,-1,http://image.suning.cn/content/catentries/00000000010582/000000000105820908/fullimage/000000000105820908_1.jpg,http://product.suning.com/105820908.html
摩瑞尔,MORAL-SPA-1,,,,410,382,532,14,蓝色,,,,17,,,北京,6.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010665/000000000106657609/fullimage/000000000106657609_1.jpg,http://product.suning.com/106657609.html
摩瑞尔,Moral-K00B1,,,,155,255,560,4.9,黑色,,,,40,,,北京,,HEPA滤网,无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010341/000000000103414223/fullimage/000000000103414223_1.jpg,http://product.suning.com/103414223.html
摩瑞尔,Moral-K00D1,,,,155,255,560,4.9,黑色,,,,40,,,北京,,HEPA滤网,无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010341/000000000103414224/fullimage/000000000103414224_1.jpg,http://product.suning.com/103414224.html
摩瑞尔,Moral-K00H1,,,,310,177,570,7.2,白色,,,,40,,,北京,,HEPA滤网,无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010378/000000000103788240/fullimage/000000000103788240_1.jpg,http://product.suning.com/103788240.html
文塔,25,,,,470,400,430,3,黑色,,,,3,,,德国原装,0.0,无,无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010685/000000000106857764/fullimage/000000000106857764_1.jpg,http://product.suning.com/106857764.html
文塔,LW-25,,,,470,400,430,3,黑色,,,,3,,,德国原装,0.0,无,无,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010685/000000000106859015/fullimage/000000000106859015_1.jpg,http://product.suning.com/106859015.html
文塔,LW-25,,,,470,400,430,3,黑色,,,,3,,,德国原装,0.0,无,无,支持,支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010685/000000000106858873/fullimage/000000000106858873_1.jpg,http://product.suning.com/106858873.html
文塔,Venta LW45,,,,330,450,300,5.8,黑色，白色,,,,8,,,,,,,,,,,,http://2a.zol-img.com.cn/product/134_160x120/886/cemlOU5dpsKro.jpg,http://detail.zol.com.cn//381/380702/param.shtml
新技,XJ-1000,,,,70,205,125,0.75,,,,,3,50,,,,,,,,,,,http://2f.zol-img.com.cn/product/134_160x120/233/cecUvxB1MoE9o.jpg,http://detail.zol.com.cn//381/380706/param.shtml
新飞,XF-YC005A,,,,173,173,145,1,粉色,,,,5,50,,顺德,1.0,"HEPA滤网,活性炭滤网",无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010884/000000000108848847/fullimage/000000000108848847_1.jpg,http://product.suning.com/108848847.html
昂臣,EC-7800,,,,376,402,180,6.5,金色,,,,37,150,,,,,,,,,,,http://2d.zol-img.com.cn/product/134_160x120/457/cebzb3DJ788dY.jpg,http://detail.zol.com.cn//381/380502/param.shtml
普林勒仕,LMJ-01,,,,120,120,247,0.5,紫色,,,,5,,,浙江,12.0,"HEPA滤网,活性炭滤网,无",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010926/000000000109264698/fullimage/000000000109264698_1.jpg,http://product.suning.com/109264698.html
普林勒仕,LMQ-02,,,,218,150,337,0.9,红色,,,,5,,,浙江,12.0,"HEPA滤网,活性炭滤网,无",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010926/000000000109264892/fullimage/000000000109264892_1.jpg,http://product.suning.com/109264892.html
普瑞德,PRD-JY-008,,,,510,290,160,4,金色,,,,55,,,余姚市,24.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010975/000000000109752208/fullimage/000000000109752208_1.jpg,http://product.suning.com/109752208.html
普瑞德,PRD-JY-022,,,,240,140,340,2,白色,,,,10,,,余姚市,12.0,"HEPA滤网,活性炭滤网",无,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010975/000000000109750029/fullimage/000000000109750029_1.jpg,http://product.suning.com/109750029.html
普瑞德,PRD-JY-022,,,,340,240,140,2.0,蓝色,,,,10,,,深圳,24.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010912/000000000109123770/fullimage/000000000109123770_1.jpg,http://product.suning.com/109123770.html
普瑞德,PRD-JY-022,,,,340,240,140,2.0,金色,,,,10,,,深圳,10.0,"HEPA滤网,活性炭滤网",无,不支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010979/000000000109793765/fullimage/000000000109793765_1.jpg,http://product.suning.com/109793765.html
普瑞德,PRD-JY-052,,,,570,330,170,7,白色,,,,55,,,余姚市,24.0,"HEPA滤网,活性炭滤网",无,不支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010975/000000000109750467/fullimage/000000000109750467_1.jpg,http://product.suning.com/109750467.html
普瑞德,PRD-JY-088,,,,330,190,580,7,金色,,,,45,,,余姚市,24.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010975/000000000109750320/fullimage/000000000109750320_1.jpg,http://product.suning.com/109750320.html
普瑞德,PRD-JY-088,,,,580,330,190,7.0,白色,,,,28,,,深圳,24.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010912/000000000109125312/fullimage/000000000109125312_1.jpg,http://product.suning.com/109125312.html
普瑞德,PRD-JY-088,,,,580,330,190,7.0,金色,,,,28,,,深圳,10.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010979/000000000109796492/fullimage/000000000109796492_1.jpg,http://product.suning.com/109796492.html
普瑞德,PRD-JY-099,,,,350,200,620,7,蓝色,,,,55,,,余姚市,24.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010975/000000000109750324/fullimage/000000000109750324_1.jpg,http://product.suning.com/109750324.html
普瑞德,PRD-JY-099,,,,620,350,200,7.0,灰色,,,,28,,,深圳,10.0,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010979/000000000109798277/fullimage/000000000109798277_1.jpg,http://product.suning.com/109798277.html
普瑞德,PRD-JY-099,,,,620,350,200,7.0,蓝色,,,,28,,,深圳,10.0,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010979/000000000109797745/fullimage/000000000109797745_1.jpg,http://product.suning.com/109797745.html
普瑞德,PRD-JY-099,,,,620,350,200,7.0,金色,,,,28,,,深圳,10.0,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010979/000000000109798799/fullimage/000000000109798799_1.jpg,http://product.suning.com/109798799.html
普诺星,PNS-501,,,,,,,7.8,棕色,,,,38,,,中国,6.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010648/000000000106481790/fullimage/000000000106481790_1.jpg,http://product.suning.com/106481790.html
普诺星,PNS-501,,,,,,,7.8,紫色,,,,38,,,中国,6.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010648/000000000106482072/fullimage/000000000106482072_1.jpg,http://product.suning.com/106482072.html
普诺星,PNS-501,,,,,,,7.8,红色,,,,38,,,中国,6.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010648/000000000106482785/fullimage/000000000106482785_1.jpg,http://product.suning.com/106482785.html
普诺星,PNS-501,,,,,,,7.8,蓝色,,,,38,,,中国,6.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010648/000000000106482422/fullimage/000000000106482422_1.jpg,http://product.suning.com/106482422.html
智欣,智欣ZZ-601,,,,,,,8,伯爵黑，象牙白，土豪金,,,,80,,ABS,,,,,,,,,,http://2c.zol-img.com.cn/product/134_160x120/200/ce8TNKugzLbQ.jpg,http://detail.zol.com.cn//381/380709/param.shtml
本原,AP-1403,,,,400,161,425,4.6,白色,,,,55,225,,浙江,12.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010779/000000000107794229/fullimage/000000000107794229_1.jpg,http://product.suning.com/107794229.html
本原,AP-1404,,,,698,493,221,10,金色,,,,75,,,浙江,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010794/000000000107942061/fullimage/000000000107942061_1.jpg,http://product.suning.com/107942061.html
本原,AP-1405,,,,510,370,190,4.7,白色,,,,30,291,,浙江,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010837/000000000108377962/fullimage/000000000108377962_1.jpg,http://product.suning.com/108377962.html
松下,F-05C3VX,35,,,,,,2.3,粉色,,17.5,,,,,中国广东,,,,,,,,,http://img10.360buyimg.com/n1/g14/M02/02/0A/rBEhVlNng1cIAAAAAAFXFFgHc0sAANB9AOc7ncAAVcs453.jpg,http://item.jd.com/937220.html
松下,F-05C3VX-P,,,,216,218,168,2.3,,,,,70,,,中国,1.0,,无,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010468/000000000104683716/fullimage/000000000104683716_1.jpg,http://product.suning.com/104683716.html
松下,F-05C3VX-P,,,,218,168,216,2,粉色,,,,7,,,佛山,36.0,活性炭滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012018/000000000120183757/fullimage/000000000120183757_1.jpg,http://product.suning.com/120183757.html
松下,F-30C3PD,,,,,,,4.1,橙色,,19.6,,,,,中国大陆,,,支持,true,,,true,,http://img11.360buyimg.com/n1/g16/M00/02/0A/rBEbRVNsMAQIAAAAAAQG96AlD98AAAdEgLOVqsABAcP544.jpg,http://item.jd.com/970671.html
松下,F-30C3PD-D,,,,540,311,210,4.1,橙色,,,,70,,,中国,2.0,HEPA滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010468/000000000104683717/fullimage/000000000104683717_1.jpg,http://product.suning.com/104683717.html
松下,F-PDF35C,,,,189,520,300,4.5,,,,,74,,,,,,,,,,,,http://2c.zol-img.com.cn/product/52_160x120/812/cezoZ6XPakkmk.jpg,http://detail.zol.com.cn//258/257989/param.shtml
松下,F-PDF35C-G,199,,,,,,4.5,绿色,,,,,,,中国,,,支持,true,,,,,http://img14.360buyimg.com/n1/g15/M05/1B/0F/rBEhWVNltqoIAAAAAAHzjKx7pmIAAM0qgE5xtQAAfOk271.jpg,http://item.jd.com/298104.html
松下,F-PDF35C-G,,,,520,300,189,5,绿色,,,,19,,,佛山,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012018/000000000120185297/fullimage/000000000120185297_1.jpg,http://product.suning.com/120185297.html
松下,F-PDF35C-P,199,,,,,,4.5,粉色,,,,,,,中国,,,支持,true,,,,,http://img12.360buyimg.com/n1/g15/M05/1B/0F/rBEhWVNltrwIAAAAAAH4jZKZyNUAAM0qwBLlWAAAfil678.jpg,http://item.jd.com/298107.html
松下,F-PDF35C-P,,,,520,300,189,5,粉色,,,,12,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012018/000000000120185896/fullimage/000000000120185896_1.jpg,http://product.suning.com/120185896.html
松下,F-PDJ30C-Y,,,,540,311,210,,黄色,,,,,172,,广东,,,有,,,支持,,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104069550/fullimage/000000000104069550_1.jpg,http://product.suning.com/104069550.html
松下,F-PDJ35C-A,,,,520,300,189,4,蓝色,,,,12,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012018/000000000120189494/fullimage/000000000120189494_1.jpg,http://product.suning.com/120189494.html
松下,F-PDJ35C-A,,,,520,300,189,,绿色,,,,,178,,广东,,,有,,,支持,,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104069547/fullimage/000000000104069547_1.jpg,http://product.suning.com/104069547.html
松下,F-PDJ35C-A,,,,520,300,198,4.5,蓝色,,,,19,,,广东,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012003/000000000120031085/fullimage/000000000120031085_1.jpg,http://product.suning.com/120031085.html
松下,F-PDJ35C-A,,,,520,300,198,4.5,蓝色,,,,220,,,广东,6.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012012/000000000120123630/fullimage/000000000120123630_1.jpg,http://product.suning.com/120123630.html
松下,F-PDJ35C-V,,,,520,300,189,5,紫色,,,,17,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012019/000000000120190824/fullimage/000000000120190824_1.jpg,http://product.suning.com/120190824.html
松下,F-PDJ35C-V,,,,520,300,198,4.5,紫色,,,,19,,,广东,6.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012012/000000000120123938/fullimage/000000000120123938_1.jpg,http://product.suning.com/120123938.html
松下,F-PDJ35C-V,,,,520,300,189,,紫色,,,,,178,,广东,,,有,,,支持,,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104069548/fullimage/000000000104069548_1.jpg,http://product.suning.com/104069548.html
松下,F-PDJ35C-V,,,,520,300,198,4.5,紫色,,,,19,,,广州,24.0,HEPA滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010799/000000000107996000/fullimage/000000000107996000_1.jpg,http://product.suning.com/107996000.html
松下,F-PXC35C-S,,,,,,,4.7,银色,,,,,,,中国,,,支持,true,,,,,http://img10.360buyimg.com/n1/g14/M09/01/1D/rBEhVVNlveYIAAAAAAHLBd8Ai8gAAM8yAPkOGsAAcsd077.jpg,http://item.jd.com/318110.html
松下,F-PXF35C,,,,,,,,,,,,,,,,,,,,,,,,http://2d.zol-img.com.cn/product/51_160x120/341/ceqvSODuXNq9o.jpg,http://detail.zol.com.cn//257/256389/param.shtml
松下,F-PXH55C,,,,580,300,195,5,紫色,,,,49,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012019/000000000120192844/fullimage/000000000120192844_1.jpg,http://product.suning.com/120192844.html
松下,F-PXH55C-V,,,,195,580,300,5.8,,,,,,306,,,,,,,,,,,http://2d.zol-img.com.cn/product/96_160x120/805/cercgLXelbnsA.jpg,http://detail.zol.com.cn//335/334771/param.shtml
松下,F-PXJ30C-A,,,,540,311,210,4.3,蓝色,,,,30,,,广东,6.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012013/000000000120130796/fullimage/000000000120130796_1.jpg,http://product.suning.com/120130796.html
松下,F-PXJ30C-A,,,,540,311,210,,蓝色,,,,,151,,广东,,,有,,,支持,,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104069549/fullimage/000000000104069549_1.jpg,http://product.suning.com/104069549.html
松下,F-PXJ35C-A,,,,520,300,189,5,蓝色,,,,23,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012020/000000000120204329/fullimage/000000000120204329_1.jpg,http://product.suning.com/120204329.html
松下,F-PXJ35C-A,,,,520,300,189,,绿色,,,,,184,,广东,,,有,,,支持,,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104069545/fullimage/000000000104069545_1.jpg,http://product.suning.com/104069545.html
松下,F-PXJ35C-A,,,,520,300,189,4.7,蓝色,,,,21,,,广东,6.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012013/000000000120131351/fullimage/000000000120131351_1.jpg,http://product.suning.com/120131351.html
松下,F-PXJ35C-P,,,,520,300,189,4.7,粉色,,,,21,,,广东,6.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012013/000000000120131711/fullimage/000000000120131711_1.jpg,http://product.suning.com/120131711.html
松下,F-PXJ35C-P,,,,520,300,189,,红色,,,,,184,,广东,,,有,,,支持,,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104069546/fullimage/000000000104069546_1.jpg,http://product.suning.com/104069546.html
松下,F-PXJ35C-P,,,,520,300,189,4.7,粉色,,,,21,,,广州,24.0,HEPA滤网,无,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010801/000000000108010811/fullimage/000000000108010811_1.jpg,http://product.suning.com/108010811.html
松下,F-VDG35C-W,,,,,,,7.8,白色,,,,,,,中国,,,支持,true,,,true,,http://img14.360buyimg.com/n1/jfs/t151/284/1343728226/40040/8e43d670/53abf5cbN6b7380c0.jpg,http://item.jd.com/497224.html
松下,F-VDG35C-W,,,,268,620,430,10,白色,,,,35,98,,,,,,true,,,,三,http://2e.zol-img.com.cn/product/83_160x120/944/ceHz8X7cvpaU.jpg,http://detail.zol.com.cn//318/317699/param.shtml
松下,F-VDG35C-W,,,,560,360,205,7.8,白色,,,,70,,,中国,3.0,HEPA滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010192/000000000101923753/fullimage/000000000101923753_1.jpg,http://product.suning.com/101923753.html
松下,F-VDG35C-W,,,,560,360,200,6,白色,,,,50,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012020/000000000120204463/fullimage/000000000120204463_1.jpg,http://product.suning.com/120204463.html
松下,F-VKJ05C-A,,,,,,,,蓝色,,20.0,4.8,7.5,,,中国,,,不支持,true,,,,,http://img10.360buyimg.com/n1/g13/M0A/01/07/rBEhVFNoXDQIAAAAAAKGIBEm4XgAAM8-gLVrgkAAoY4368.jpg,http://item.jd.com/1058760.html
松下,F-VKJ05C-A,,,,216,218,168,2.3,蓝色,,,,,35,,中国,12.0,HEPA滤网,无,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010623/000000000106230988/fullimage/000000000106230988_1.jpg,http://product.suning.com/106230988.html
松下,F-VKJ05C-P,,,,,,,1.8,粉色,,20.0,4.8,7.5,,,中国,,,,true,,,,,http://img11.360buyimg.com/n1/g13/M0A/01/07/rBEhVFNoXEAIAAAAAAJx-hMAxSwAAM8_AAQWIAAAnIS230.jpg,http://item.jd.com/1058761.html
松下,F-VKJ05C-P,,,,216,218,168,2.3,,,,,,35,,中国,12.0,HEPA滤网,无,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010623/000000000106230987/fullimage/000000000106230987_1.jpg,http://product.suning.com/106230987.html
松下,F-VXG35C-S,,,,,,,7.8,银色,,,,,,,中国,,,支持,true,,,true,,http://img13.360buyimg.com/n1/jfs/t202/151/1328052540/48155/ef822a95/53abf5d5Ncf1289e4.jpg,http://item.jd.com/497223.html
松下,F-VXG35C-S,,,,200,560,360,7.8,银色,,,,41,,高级塑料,,72.0,,true,true,,,true,3,http://2d.zol-img.com.cn/product/81_160x120/967/ceb9vCFzSGVV.jpg,http://detail.zol.com.cn//315/314759/param.shtml
松下,F-VXG35C-S,,,,560,360,205,7.8,银色,,,,70,,,中国,3.0,HEPA滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010192/000000000101923754/fullimage/000000000101923754_1.jpg,http://product.suning.com/101923754.html
松下,F-VXG35C-S,,,,560,360,200,5,银色,,,,50,,,佛山,36.0,活性炭滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012020/000000000120204875/fullimage/000000000120204875_1.jpg,http://product.suning.com/120204875.html
松下,F-VXG70C,,,,,,,10.2,红色,,,,,,,中国,,,支持,true,,,true,,http://img10.360buyimg.com/n1/g16/M00/01/1C/rBEbRlNrZ78IAAAAAAGq9rDKjCsAAAXdgHgoY4AAasO009.jpg,http://item.jd.com/497225.html
